depotAbbreviation,depotCity,depotCountry,depotGpsLatitude,depotGpsLongitude,depotId,depotLive,depotOperator,lastLiveUpdate,Aangepast,Type,,,,
ALR-WV,Almere,NL,52.31895058,5.315429405,210406,TRUE,PNP,10/17/22,X,PostNL Sorteercentrum Pakketten,,,,
,Alphen aan den Rijn,NL,,,217827,FALSE,PNP,6/11/23,,,,,,
AL-EW,Alphen aan den Rijn (NLI),NL,52.1140247,4.677957619,223153,TRUE,PNP,4/8/24,X,PostNL Sorteercentrum Pakketten,,,,
AMF-WT,Amersfoort,NL,52.16559815,5.423774446,160664,TRUE,PNP,10/24/22,X,PostNL Sorteercentrum Pakketten,,,,
ASD-JOA,Amsterdam-Zuidoost,NL,52.3237157,4.9254172,208802,TRUE,PNP,6/20/22,X,PostNL Sorteercentrum Pakketten,,,,
AP-OAW,Apeldoorn,NL,52.1753771,5.965311977,208683,TRUE,PNP,9/26/22,X,PostNL Sorteercentrum Pakketten,,,,
TPB-ARD,Ardooie,BE,50.9779804,3.2359682,212149,TRUE,PNP,4/3/23,,,,,,
ASN-KO,Assen,NL,,,212118,FALSE,PNP,3/15/23,,,,,,
BORN-HN,Born,NL,51.0688733,5.8136189,157653,TRUE,PNP,7/4/22,X,PostNL Sorteercentrum Pakketten,,,,
BD-SB,Breda,NL,51.60315727,4.759661392,157648,TRUE,PNP,10/10/22,X,PostNL Sorteercentrum Pakketten,,,,
HT-KK,Den Bosch,NL,51.70320616,5.271834919,156836,TRUE,PNP,10/24/22,X,PostNL Sorteercentrum Pakketten,,,,
HBD-H,Den Hoorn,NL,52.00468047,4.319690261,161099,TRUE,PNP,7/4/22,X,PostNL Sorteercentrum Pakketten,,,,
,Desteldonk,BE,,,217831,FALSE,PNP,,,,,,,
DDT-ZS,Dordrecht,NL,51.77479037,4.640998461,211188,TRUE,PNP,10/3/22,X,PostNL Sorteercentrum Pakketten,,,,
ELT-N,Elst,NL,51.9139513,5.862118048,156734,TRUE,PNP,7/4/22,X,PostNL Sorteercentrum Pakketten,,,,
TPB-EVG,Evergem,BE,51.1294606,3.7582926,223157,TRUE,PNP,10/2/23,,,,,,
GS-CO,Goes,NL,51.48448751,3.887322185,166248,TRUE,PNP,10/10/22,X,PostNL Sorteercentrum Pakketten,,,,
HW-LN,Halfweg,NL,52.3916943,4.7107546,166240,TRUE,PNP,10/17/22,,Lijkt buiten gebruik: maps,,,,
HGL-Z,Hengelo,NL,52.24563304,6.783086705,156837,TRUE,PNP,10/3/22,X,PostNL Sorteercentrum Pakketten,,,,
HGV-BV,Hoogeveen,NL,52.71194217,6.503960388,220734,TRUE,PNP,2/27/23,X,PostNL Sorteercentrum Pakketten,,,,
KHM-O,Kolham,NL,53.17103189,6.747570177,161102,TRUE,PNP,10/3/22,X,PostNL Sorteercentrum Pakketten,,,,
LW-B,Leeuwarden,NL,53.18382892,5.753821532,161111,TRUE,PNP,9/26/22,X,PostNL Sorteercentrum Pakketten,,,,
TPB-NAM,Namen,BE,50.4475823,4.7915676,208191,TRUE,PNP,4/23/23,,,,,,
NIWG-MO,Nieuwegein,NL,52.01349328,5.115741412,205748,TRUE,PNP,10/17/22,X,PostNL Sorteercentrum Pakketten,,,,
TPB-OEV,Oevel,BE,51.1360946,4.9263006,217825,TRUE,PNP,4/17/23,,,,,,
OPM-V,Opmeer,NL,52.71246827,4.957301661,166885,TRUE,PNP,7/4/22,X,PostNL Sorteercentrum Pakketten,,,,
RD-S,Ridderkerk,NL,51.87670384,4.561506248,171966,TRUE,PNP,9/26/22,X,PostNL Sorteercentrum Pakketten,,,,
SSH-E,Sassenheim,NL,52.21361103,4.496881817,176047,TRUE,PNP,6/27/22,X,PostNL Sorteercentrum Pakketten,,,,
,Sint-Niklaas,BE,,,209036,FALSE,PNP,4/4/23,,,,,,
TPB-STT,Sint-Truiden,BE,50.8112703,5.2111133,113825,TRUE,PNP,3/27/23,,,,,,
SON-EK,Son,NL,51.50217824,5.480864715,166244,TRUE,PNP,9/26/22,X,PostNL Sorteercentrum Pakketten,,,,
TB-LE,Tilburg,NL,51.58407487,5.044459088,212123,TRUE,PNP,10/10/22,X,PostNL Sorteercentrum Pakketten,,,,
