alpha,scenario,n_paths,n_failed,mean_length,min_length,max_length,mean_risk,min_risk,max_risk,mean_energy,min_energy,max_energy,mean_turns,min_turns,max_turns,mean_height_changes,min_height_changes,max_height_changes,n_unique_etypes
0.0,Base,63,1,4172.723638344779,862.7285403722319,14388.224409928924,1372.5969943716125,234.49177527404058,6045.8337689979035,113.62142429195282,33.57821350930582,367.65561024822347,123.47619047619048,34,225,5.857142857142857,5.0,7.0,19
0.0,Higher horizontal (+20%),63,1,4171.542287791635,862.7285403722319,14388.224409928924,1372.0675462097952,234.49177527404058,6045.8337689979035,134.48182418930463,37.89185621116696,439.5967322978677,123.38095238095238,34,225,5.857142857142857,5.0,7.0,19
0.0,Lower horizontal (-20%),63,1,4174.022925139321,862.7285403722319,14388.224409928924,1376.7520612896587,234.49177527404058,6045.8337689979035,92.75156961389753,29.26457080744465,295.7144881985786,123.98412698412699,34,225,5.825396825396825,5.0,7.0,19
0.0,Higher vertical (+20%),63,1,4174.022925139321,862.7285403722319,14388.224409928924,1376.7520612896587,234.49177527404058,6045.8337689979035,115.47590646181635,35.98021350930581,369.24561024822344,123.98412698412699,34,225,5.825396825396825,5.0,7.0,19
0.0,Lower vertical (-20%),63,1,4171.542287791635,862.7285403722319,14388.224409928924,1372.0675462097952,234.49177527404058,6045.8337689979035,111.75700163923533,31.176213509305814,366.0656102482235,123.38095238095238,34,225,5.857142857142857,5.0,7.0,19
0.0,All higher (+20%),63,1,4172.723638344779,862.7285403722319,14388.224409928924,1372.5969943716125,234.49177527404058,6045.8337689979035,136.3457091503434,40.29385621116695,441.1867322978677,123.47619047619048,34,225,5.857142857142857,5.0,7.0,19
0.0,All lower (-20%),63,1,4172.723638344779,862.7285403722319,14388.224409928924,1372.5969943716125,234.49177527404058,6045.8337689979035,90.89713943356227,26.86257080744465,294.12448819857855,123.47619047619048,34,225,5.857142857142857,5.0,7.0,19
0.5,Base,63,1,5609.272837734679,912.966797026979,16084.979907000921,329.0140254784423,172.08473133872016,597.4846051426422,150.14737649892257,34.83416992567448,410.07449767502345,129.14285714285714,31,276,6.26984126984127,5.0,11.0,19
0.5,Higher horizontal (+20%),63,1,5561.3643999198475,912.966797026979,16076.708822361392,330.3909932041492,172.08473133872016,604.2106757601124,176.65982088648428,39.399003910809355,490.25126467084175,127.11111111111111,31,272,6.2063492063492065,5.0,9.0,19
0.5,Lower horizontal (-20%),63,1,5677.1378850102965,912.966797026979,16104.695345102584,327.38192602199194,172.08473133872016,597.4846051426422,123.45831325576154,30.269335940539587,330.0439069020518,132.23809523809524,31,278,6.26984126984127,5.0,11.0,19
0.5,Higher vertical (+20%),63,1,5603.411967988666,912.966797026979,16084.979907000921,329.25797235963654,172.08473133872016,597.4846051426422,151.86796586638337,37.236169925674474,411.6644976750234,129.25396825396825,31,276,6.2063492063492065,5.0,9.0,19
0.5,Lower vertical (-20%),63,1,5609.272837734679,912.966797026979,16084.979907000921,329.0140254784423,172.08473133872016,597.4846051426422,148.16426538781147,32.43216992567448,408.4844976750235,129.14285714285714,31,276,6.26984126984127,5.0,11.0,19
0.5,All higher (+20%),63,1,5558.152479157647,912.966797026979,16076.708822361392,330.55906050542137,172.08473133872016,604.2106757601124,178.44990770806265,41.801003910809364,491.8412646708418,126.92063492063492,31,272,6.174603174603175,5.0,9.0,19
0.5,All lower (-20%),63,1,5677.1378850102965,912.966797026979,16104.695345102584,327.38192602199194,172.08473133872016,597.4846051426422,121.47520214465042,27.86733594053959,328.45390690205187,132.23809523809524,31,278,6.26984126984127,5.0,11.0,19
1.0,Base,63,1,6385.164746002016,912.966797026979,17641.09829265947,322.0450342891668,171.95890596727273,555.5149120600597,169.70578531671708,34.83416992567448,448.9774573164869,161.44444444444446,31,420,6.4603174603174605,5.0,11.0,18
1.0,Higher horizontal (+20%),63,1,6385.164746002016,912.966797026979,17641.09829265947,322.0450342891668,171.95890596727273,555.5149120600597,201.63160904672716,39.399003910809355,537.1829487797839,161.44444444444446,31,420,6.4603174603174605,5.0,11.0,18
1.0,Lower horizontal (-20%),63,1,6385.164746002016,912.966797026979,17641.09829265947,322.0450342891668,171.95890596727273,555.5149120600597,137.779961586707,30.269335940539587,360.7719658531892,161.44444444444446,31,420,6.4603174603174605,5.0,11.0,18
1.0,Higher vertical (+20%),63,1,6385.164746002016,912.966797026979,17641.09829265947,322.0450342891668,171.95890596727273,555.5149120600597,171.7211186500504,37.236169925674474,450.56745731648687,161.44444444444446,31,420,6.4603174603174605,5.0,11.0,18
1.0,Lower vertical (-20%),63,1,6385.164746002016,912.966797026979,17641.09829265947,322.0450342891668,171.95890596727273,555.5149120600597,167.69045198338378,32.43216992567448,447.3874573164869,161.44444444444446,31,420,6.4603174603174605,5.0,11.0,18
1.0,All higher (+20%),63,1,6385.164746002016,912.966797026979,17641.09829265947,322.0450342891668,171.95890596727273,555.5149120600597,203.64694238006047,41.801003910809364,538.7729487797839,161.44444444444446,31,420,6.4603174603174605,5.0,11.0,18
1.0,All lower (-20%),63,1,6385.164746002016,912.966797026979,17641.09829265947,322.0450342891668,171.95890596727273,555.5149120600597,135.76462825337367,27.86733594053959,359.18196585318924,161.44444444444446,31,420,6.4603174603174605,5.0,11.0,18
