alpha,scenario,area_type,parameter,change_direction,length_change_%,risk_change_%,energy_change_%,turns_change_%,height_changes_change_%
1.0,Meadows and open grass - Communication -1,Meadows and open grass,Communication,-1,7.393612254814447,-8.491893311646544,7.068555491999219,2.5530243519245874,1.4742014742014689
1.0,Meadows and open grass - Communication +1,Meadows and open grass,Communication,1,-2.6785808756683216,3.9993819620701614,-2.5765057741041764,-5.253338570306364,-1.4742014742014828
1.0,Meadows and open grass - Electrical -1,Meadows and open grass,Electrical,-1,0.0,0.0,0.0,0.0,0.0
1.0,Meadows and open grass - Electrical +1,Meadows and open grass,Electrical,1,-2.6785808756683216,3.9993819620701614,-2.5765057741041764,-5.253338570306364,-1.4742014742014828
1.0,Meadows and open grass - Interference -1,Meadows and open grass,Interference,-1,0.0,0.0,0.0,0.0,0.0
1.0,Meadows and open grass - Interference +1,Meadows and open grass,Interference,1,-2.6785808756683216,3.9993819620701614,-2.5765057741041764,-5.253338570306364,-1.4742014742014828
1.0,Meadows and open grass - Navigational -1,Meadows and open grass,Navigational,-1,0.0,0.0,0.0,0.0,0.0
1.0,Meadows and open grass - Navigational +1,Meadows and open grass,Navigational,1,-2.6785808756683216,3.9993819620701614,-2.5765057741041764,-5.253338570306364,-1.4742014742014828
1.0,Meadows and open grass - Obstacles -1,Meadows and open grass,Obstacles,-1,7.393612254814447,-8.491893311646544,7.068555491999219,2.5530243519245874,1.4742014742014689
1.0,Meadows and open grass - Obstacles +1,Meadows and open grass,Obstacles,1,-2.6785808756683216,3.9993819620701614,-2.5765057741041764,-5.253338570306364,-1.4742014742014828
1.0,Pedestrian and cycling paths - Communication -1,Pedestrian and cycling paths,Communication,-1,-0.023510916132719058,-1.1620522846229606,-0.0031298694228176715,0.08837391987431015,0.49140049140048964
1.0,Pedestrian and cycling paths - Communication +1,Pedestrian and cycling paths,Communication,1,-0.5458690433406023,1.1120322528060258,-0.5134601299114756,-0.4418695993715683,0.0
1.0,Pedestrian and cycling paths - Electrical -1,Pedestrian and cycling paths,Electrical,-1,-0.023510916132719058,-1.1620522846229606,-0.0031298694228176715,0.08837391987431015,0.49140049140048964
1.0,Pedestrian and cycling paths - Electrical +1,Pedestrian and cycling paths,Electrical,1,-0.5458690433406023,1.1120322528060258,-0.5134601299114756,-0.4418695993715683,0.0
1.0,Pedestrian and cycling paths - Interference -1,Pedestrian and cycling paths,Interference,-1,-0.023510916132719058,-1.1620522846229606,-0.0031298694228176715,0.08837391987431015,0.49140049140048964
1.0,Pedestrian and cycling paths - Interference +1,Pedestrian and cycling paths,Interference,1,-0.5458690433406023,1.1120322528060258,-0.5134601299114756,-0.4418695993715683,0.0
1.0,Pedestrian and cycling paths - Navigational -1,Pedestrian and cycling paths,Navigational,-1,-0.023510916132719058,-1.1620522846229606,-0.0031298694228176715,0.08837391987431015,0.49140049140048964
