Area Type,Alpha,Mean Δ Risk (%),Max Δ Risk (%),Mean Δ Energy (%),Mean Δ Length (%)
Meadows and open grass,0.0,-94.82,-94.82,0.0,0.0
Meadows and open grass,0.5,-94.81,-94.74,0.71,0.74
Meadows and open grass,1.0,-94.69,-94.58,0.12,0.14
Pedestrian and cycling paths,0.0,-94.82,-94.69,0.0,0.0
Pedestrian and cycling paths,0.5,-94.8,-94.7,0.04,0.08
Pedestrian and cycling paths,1.0,-94.72,-94.62,-0.26,-0.29
Regional roads,0.0,-94.81,-94.69,0.0,0.0
Regional roads,0.5,-94.81,-94.75,0.65,0.67
Regional roads,1.0,-94.69,-94.61,-0.1,-0.15
"Rivers, canals and streams",0.0,-94.82,-94.82,0.0,0.0
"Rivers, canals and streams",0.5,-94.74,-94.5,0.55,0.55
"Rivers, canals and streams",1.0,-94.68,-94.49,-1.5,-1.6
Tracks and rural access roads,0.0,-94.82,-94.77,0.0,0.0
Tracks and rural access roads,0.5,-94.78,-94.65,0.25,0.26
Tracks and rural access roads,1.0,-94.56,-94.29,0.74,-0.49
